,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
39,Cade Cunningham,DET,22,28,6,22,92.8,66,21,50,42,5,15,33.3,19,19,100,2,8,10,9,7,0,1,8,88,6,0,-82
40,Chet Holmgren,OKC,22,35,23,12,113.6,64,21,40,52.5,7,17,41.2,15,21,71.4,3,23,26,7,5,1,11,11,137,12,0,51
40,Fred VanVleet,HOU,30,34,15,19,129.4,64,19,55,34.5,9,34,26.5,17,20,85,2,11,13,25,2,7,3,11,145,13,0,-35
40,Jerami Grant,POR,30,23,12,11,92.1,64,22,44,50,7,15,46.7,13,17,76.5,1,8,9,6,13,0,2,10,77,0,0,9
43,Buddy Hield,PHI,31,29,15,14,72.1,63,23,37,62.2,13,25,52,4,5,80,5,8,13,3,3,2,3,7,95,1,0,19
44,Jimmy Butler,MIA,34,31,15,16,114.3,61,18,52,34.6,2,14,14.3,23,31,74.2,5,11,16,9,4,6,1,10,111,2,0,-26
45,Jamal Murray,DEN,27,25,17,8,77.2,60,20,35,57.1,4,10,40,16,19,84.2,2,9,11,18,4,2,0,3,102,7,0,78
45,Karl-Anthony Towns,MIN,28,27,15,12,97.9,60,19,49,38.8,7,24,29.2,15,17,88.2,5,17,22,11,4,0,2,13,105,10,0,-13
45,Kyle Kuzma,WAS,28,30,7,23,92.7,60,24,64,37.5,5,21,23.8,7,9,77.8,8,11,19,3,7,1,4,16,95,5,0,-111
48,Klay Thompson,GSW,34,40,21,19,130.6,57,17,57,29.8,11,41,26.8,12,12,100,1,9,10,5,1,2,4,12,94,0,0,31
49,Jaylen Brown,BOS,27,29,17,12,112,56,20,40,50,3,15,20,13,19,68.4,5,18,23,7,7,2,3,13,102,4,0,47
49,Jordan Clarkson,UTA,32,19,8,11,79.2,56,19,47,40.4,9,23,39.1,9,11,81.8,8,9,17,11,2,1,1,5,97,4,0,16
